單字,中文,例句,中例,同義,反義
complexity,n.複雜性，錯綜複雜的狀態；複雜的事物；複合物； ,"Compared to the classical FDTD algorithm, PSTD algorithm reduces greatly the computation complexity and memory complexity.",與FDTD方法相比，PSTD方法使得計算時間和內存得到極大的減少。,tortuousness;tapestry;quality;,complex;simple;simplicity;
complication,n.[醫]併發症；錯雜，糾紛；混亂，精神錯亂； ,And there were no difference of frequency of complication ( P > 0.05 ).,兩組的併發症發生率無差別 ( P0.05 ).,hinderance;hindrance;interference;,complex;simple;noninterference;
component,n.成分；零件；[數]要素；組分； adj.組成的；合成的；構成的；成分的； ,TGCM consists of Algorithm Executing Component (AEC) and Intelligent Learning Component (ILC).,TGCM包含兩個部件——演算法執行部件AEC(Algorithm Executing Component)和智能學習部件ILC(Intelligent Learning Component)。,division;point;constituent;,bad luck;misfortune;success;
conceit,n.自負；幻想；思想，觀點；巧妙構思； v.幻想；〈古〉理解； ,"Conceit, especially the conceit of high-ranking cadres, will unavoidably harm Party unity and work.",驕傲，特別是高級幹部的驕傲，不能不使黨的團結和黨的工作受到損害。,vanity;pride;amour propre;,humility;uncommunicativeness;altruism;
conception,n.受精，懷孕；胚胎；概念；設想，構想； ,"The conception was not an aesthetic conception at first, rather a theological conception.","這個概念最初並不是一個美學概念, 而是一個神學概念.",notion;attribute;category;,misconception;applied;thickness;
concession,n.讓步，遷就；（尤指由政府或僱主給予的）特許權；租借地；承認或允許； ,BOT project concession period consists two parts: concession period limit and concession period length.,BOT項目特許權轉讓協議中有關特許期的約定涉及兩部分內容，包括特許期限定和特許期長度。,grant;contract;franchise;,rejection;keep down;dematerialise;
confrontation,n.對抗；面對；遭遇；對峙； ,The two gangs had a tense confrontation.,那兩個幫派有一個緊張的衝突.,challenge;,oral contract;bargain;
congressman,n.<美>國會議員（尤指眾議員）； ,"Congressman Chris Shays is here, I believe -- right there in the very front; hey, Congressman.","議員克里斯Shays在這裡, 我相信 -- 那裡權利在非常前面; 嘿, 議員.",representative;legislator;rep;,nonrepresentative;atypical;undemocratic;
congresswoman,n.國會女議員，眾議院女議員； ,Solis is a former Democratic Congresswoman from California.,HildaSolis在副總統Biden的主持下宣誓就職.,representative;congressman;legislator;,nonrepresentative;atypical;undemocratic;
conquest,n.征服，擊敗；戰利品；（尤指）愛情的俘虜；贏得（物）； ,Longines Conquest models in a wide choice of metals and features.,朗琴Conquest表擁有多種金屬和風格的型號.,capture;conquering;subjection;,loser;failure;defeat;
consensus,n.一致；輿論；一致同意，合意； ,The international community should lock on the consensus andand work to reach further consensus.,國際社會應鎖定這些共識，並在下一步談判中繼續細化落實。,agreement;accord;,disagreement;incompatibility;disenfranchise;
conservation,n.保存；保護；避免浪費；對自然環境的保護； ,Building conservation - oriented campus has special experimental and creative value for Chinese stratagem of building conservation - oriented society.,建設節約型校園對於我國建設節約型社會具有重要的試驗和創新價值.,preservation;advance;improvement;,retreat;fall back;regress;
consolation,n.安慰，慰問；起安慰作用的人（或事物）； ,Among Clinton's potential consolation prizes: the veep slot and absolution of her campaign debt.,希拉里的「安慰獎」：副總統的交椅還是競選債務的免除？,solace;comfort;cold comfort;,increase;compression;low relief;
conspiracy,n.陰謀；反叛；共謀； ,That conspirator was accused of conspiracy to murder.,那個同謀者被控參與謀殺。,confederacy;conspiracy of silence;agreement;,pressurise;desynchronize;blur;
constituent,n.選民；成分，構成部分；委託人； adj.構成的，組成的；選舉的；有選舉權的； ,"A constituent (element or compound) of an alloy, which may be used to specify its composition.",合金的任一組成（可以是元素或化合物），可以被用於區分其構成成分。,making;portion;auto part;,software;bad luck;misfortune;
consultation,n.商議，磋商；商討會；[醫]會診；請教，咨詢； ,This time graduation design is a some management consultation company design of management consultation website.,本次畢業設計即為某治理徵詢公司設計的治理徵詢網站。,audience;interview;group discussion;,dormant;inactiveness;defense;
consumption,n.消費；肺病；耗盡；[醫學]消耗性疾病； ,"On campus, high consumption coexists with low consumption, together with precocious consumption and immature consumption.",在大學校園，高消費者和低消費者同在，早熟型消費與不成熟型消費共存。,feeding;bodily process;suck;,inactivity;discontinuation;discontinuance;
contemplation,n.注視；凝視；沉思；意圖； ,Sophia was charmed with the contemplation of so heroic an action.,想到這樣一種悲壯的行為，蘇菲亞不勝陶醉了。,stare;,unkindness;tactlessness;
contestant,n.競爭者，競賽者；爭論者；（對選舉結果）有異議者； ,"Undeniably, he is a very outstanding contestant, but actually with difficulty becomes a top contestant.","不可否認, 他是一個很優秀的選手, 但是卻難以成為一個頂級的選手.",somebody;mortal;rival;,antagonist;winner;loser;
contractor,n.訂約人，承包人；收縮物； ,"Including bid guarantee, contractor surety bond guarantee, contractor payment guarantee, payment guarantee , cash warranty guarantee, etc.",包括投標保證擔保 、 承包履約保證擔保 、 工程款支付保證擔保 、 預付款保證擔保 、 保修金保證擔保等業務.,builder;defense contractor;ship-breaker;,effector;receptor;inability;
contradiction,n.矛盾；否認，反駁； ,It is precisely in the particularity of contradiction that the universality of contradiction resides.,矛盾的普遍性即寓於矛盾的特殊性之中.,oppositeness;opposition;dialectic;,exactitude;inaccurate;accuracy;
controversy,n.公開辯論；論戰； ,Controversy of different environment policy tool's validity consequentially returns to controversy between Caose and classicality.,對不同環境政策工具的有效性的爭論，也就必然回到科斯與庇古傳統之間的爭論。,contention;difference of opinion;contestation;,cooperation;agreement;straighten;
conviction,n.定罪；說服；確信；信念； ,"She'd made such promises before, and they lacked conviction/didn't carry much conviction.",她以前也作過這樣的許諾，但都不足信。,strong belief;article of faith;amateurism;,unbelief;final decision;cognitive content;
coordinate,vt.使協調，使調和；整合；使（身體各部份）動作協調；（衣服、布料等）搭配； vi.協調；協同；成為同等；被歸入同一類別； adj.同等的；[語法學]並列的；同等級的；帶有同等性質的； ,"For more information on coordinate systems, see Map projections and coordinate systems.",更多關於坐標系統的信息，參見「地圖投影和坐標系統」。,set up;organise;mesh;,disarrange;disorganize;level;
core,n.中心，核心，精髓；果心，果核；[地質學]地核；[計] 磁心； vt.去（果）核，挖去…的果心；提取岩芯（樣品）； ,He has been a member of CORE since late 1999.,他從1999年起就是爭取種族平等大會(CORE)的成員。,cadre;nucleus;set;,outward;loss;gain;
corps,n.兵團；特種部隊；一群人，一組人； ,Why don't you go ask our friends in the press corps?,為什麼你不問問我們媒體的朋友 呢 ?,ROTC;division;ground forces;,Cryptogamia;Phanerogamae;misconception;
corpse,n.死屍，屍體； ,"To keep watch or guard, especially over a corpse.",青，我把我的表賣了一百法郎，把錶鏈和墜子賣了三百法郎。,cadaver;remains;body;,artifact;thin;thick;
correspondent,n.通訊員，記者；通信者； ,He volunteered as correspondent for the War.,他主動要求作報導這次戰爭的記者。,pen-friend;letter writer;pen pal;,unlikeness;dissimilitude;unalike;
corruption,n.腐敗；貪污；賄賂；變體； ,"In the analysis of the cost of corruption made in risk-free rate, corruption-black number and-corruption.",在對腐敗成本的分析中提出風險率、腐敗黑數和反腐敗黑數。,infection;corrupt;jobbery;,honesty;corrupt;incorruptness;
cosmopolitan,adj.世界性的，全世界的；四海為家的；全球的； n.世界主義者；四海為家者； ,"Soon, IDG successfully introduced Cosmopolitan of the US into the Chinese market.","很快, IDG成功地將《大都會》(cosmopolitan)的引入中國的市場.",traveled;travelled;,provincial;specific;discriminate;
counterpart,n.配對物；副本；相對物；極相似的人或物； ,And I can't find any counterpart to the death threats at least one congressman has received.,也沒有發現任何一位議員受到死亡威脅類似的情況.,vis-a-vis;complement;equivalent;,disjoin;juvenile;mismatched;
coverage,n.範圍，規模；保險項目；〈美〉（新聞）報導；[植]優勢度； ,Defining a coverage's coordinate system.,定義某個coverage的坐標系統。,extent;,loss;gain;
cramp,n.痛性痙攣，抽筋；（腹部）絞痛；夾子，扣釘；（制靴）弓狀木； vt.使痙攣，使抽筋；<俚>使掃興；用夾子夾緊；限制，束縛； adj.難懂的，難認的；受拘束的，狹窄的； ,"Can you keep swimming when you get a side stitch, calf cramp, or foot cramp?",你能在岔氣、小腿抽筋、腳抽筋的情況下繼續堅持游泳嗎？,twitching;charley-horse;muscle spasm;,hypoglycemia;hypernatremia;hypocalcemia;
credibility,n.可靠性，可信性；確實性； ,Credibility by rule and credibility by virtue are two aspects essential to moral integrity.,規範誠信和德性誠信是誠通道德不可或缺的兩個方面。,rigour;quality;plausibleness;,incredible;incredibility;credible;
criterion,n.（批評、判斷等的）標準，準則；規範； ,Exergy analysis criterion includes appraisal criterion and analysis criterion.,分析準則包括評價準則和分析準則兩類。,procrustean standard;touchstone;earned run average;,thinness;inactivity;standard;
crook,n.騙子；彎曲；鉤；詭計； vt.使成鉤狀；使彎曲； vi.彎曲； ,"Mr. Darlin: I say they are. Captain Crook, Peter Pirate!","達林先生: 我說它們是! 騙子船長, 彼得·海盜!",desperate criminal;peddler;racketeer;,inexperienced;weak;delicate;
cruise,vi.巡遊；漫遊；巡航； n.（軍艦等）巡邏，巡航；〈口〉遊覽，旅行，週遊； vt.巡航；巡遊；漫遊； ,The early warning detection to cruise missile is the first condition of intercepting cruise missile.,對巡航導彈進行預警探測，是攔截巡航導彈的首要條件。,journey;travel;,levitation;gravitation;walk;
cruiser,n.巡洋艦；[航海]觀光遊艇；警察巡邏車； ,It looks like an Imperial cruiser.,朱伊，我們快離開<p>天！,car;machine;motorcar;,stay in place;surface ship;submersible;
crumb,n.碎屑（尤指麵包屑或糕餅屑）；麵包心；些許，少許；<俚>可鄙的人物； v.捏碎，弄碎；[烹]裹上麵包屑用油煎； ,"The police suddenly examined the house to a crumb, but found nothing valuable for their search.",警察突然仔細地搜查了這棟房子，但沒有搜到什麼重要的東西。,bite;breadcrumb;cracker crumbs;,victory;nonworker;fire;
crumble,vt.把…弄成碎屑；弄碎； vi.破碎，破裂；碎成粉末；瓦解；崩裂； n.碎屑，麵包屑；已崩潰的東西；瓦礫堆； ,The wrinkling of the hills would make them crumble.,這些山巒的皺摺會使它們倒塌無遺.,break down;crumple;collapse;,strengthen;magnetize;cool;
crust,n.麵包皮；外殼；硬外皮；地殼； vt.用外皮覆蓋；在…上結硬皮；生痂兒； vi.結成外殼；結硬皮； ,There exist two rock series namely crust caused intrusive rock and crust-mantle caused volcanic-intrusive rock.,膠東地區存在殼源侵入岩、殼幔源火山—侵入岩兩個成岩系列和金礦、多金屬礦兩個成礦系列。,asthenosphere;layer;crustal plate;,stale;oldness;staleness;
daffodil,n.水仙花；黃水仙；鮮黃色； adj.淡黃色的；水仙花色的； ,"Tender green daffodil leaves poke through the grass, some even showing yellow buds.",嫩綠色的黃水仙的葉子從草叢中探出身來，有些水仙甚至展露出它們黃色的花蕾。,paper white;jonquil;Narcissus pseudonarcissus;,
dandruff,n.頭皮屑；頭垢； ,Yes. Do you have any dandruff?,要。有沒有去屑洗髮膏？,pityriasis;,
daybreak,n.拂曉，黎明；天亮；旦；天明； ,"A dayjoes through daybreak, morning, noon, afternoon, evening and midn umqrwo ht.",一天經過了黎明 、 早晨 、 中午 、 下午 、 晚上和午夜.,dawning;dawn;cockcrow;,sunset;end;stay;
decline,n.下降；（力量、健康、品格、權力、價值等的）衰退；下傾；（人、生命等的）衰退期； vt.& vi.辭謝，謝絕（邀請等）； vi.（道路、物體等）下傾；（太陽）落下；（在品格、價值上）降低；衰落，謝絕； ,The decline of literature indicates the decline of a nation; thetwo keep in their downward tendency.,文學的衰落表明一個民族的衰落。,repudiate;react;spurn;,contract in;accept;obey;
dedication,n.奉獻；獻身精神；教堂的)獻堂禮；（書等作品上的）題詞； ,"All teachers dedication and selfless dedication, a noble morality, concern and care to help every student.",全體教師愛崗敬業，無私奉獻、師德高尚，關心愛護幫助每一位學生。,fidelity;faithfulness;,infidelity;unfaithfulness;belief;
defect,n.瑕疵，毛病；欠缺，缺點； vi.叛逃；背叛； ,"Structure defect, Material defect, Common parts and Components defect and General defect.","在本手冊中,我們將缺陷分為四類:結構缺陷 、 材料缺陷 、 零部件缺陷和一般性缺陷.",imperfectness;congenital defect;congenital abnormality;,perfection;hairiness;hairlessness;
deficiency,n.缺乏，不足；缺點，缺陷；不足額； ,Iron deficiency is one of the most common nutrient deficiency diseases and affects children's health seriously.,鐵缺乏症是一種常見的嚴重危害兒童健康的營養缺乏症.,mineral deficiency;shortness;lack;,presence;fruitfulness;superiority;
delinquent,adj.不盡責的，怠工的；有過失的；拖欠債務的； n.流氓；少年罪犯；失職者； ,Other any outstanding debts and your record of delinquent payment.,是否有有待償還的債務或者拖欠付款的記錄呢?,remiss;neglectful;derelict;,diligent;inhabited;attentive;
density,n.密度；稠密，濃厚；[物]濃度，比重；愚鈍； ,This paper introduces a Pulse - Density - Modulated ( PDM ) load resonant induction heating power based on DSP.,介紹了基於數字信號處理器(DSP)設計的PDM ( Pulse 鄄 Density鄄Modulation ) 負載諧振式感應加熱電源.,flux density;tenuity;bits per inch;,thickness;strength;stand still;
deputy,n.副手；代理人；代表； adj.副的；代理的； ,"Su - hong, deputy director of Hematology, deputy chief physician, Master, provincial executive director of experimental hematology.","蘇國宏血液內科副主任, 副主任醫師, 碩士, 省實驗血液學會常務理事.",lawman;law officer;deputy sheriff;,dominant;captor;bad person;
descendant,n.後代；後裔；（由過去類似物發展來的）派生物；弟子； adj.下降的；祖傳的； ,She is a direct descendant of the former King of Wales.,她是前威爾士國王的直系後代.,descendent;scion;child;,ancestor;unconnectedness;connectedness;
descent,n.下降；血統；傾斜； ,"The descent was initially rapid in the thin air, reaching a peak descent rate of 100mph.",在稀薄的空氣中下降的速度起初很快，最高下降速度達到每小時100米。,full blood;ancestry;lineage;,nonconformity;noncompliance;empty;
diabetes,n.<醫>糖尿病；多尿症；中消； ,"During multi-factor analysis about age,smoking,drinking,diabetes,hypertension,CHD CVO,and hypercholesterolemia,the factors chiefly selected were age,smoking,diabetes,and hypertension.",在包括年齡、吸煙、飲酒、糖尿病、高血壓、心腦血管疾患的多因素分析中，年齡、吸煙、糖尿病、高血壓作為突出相關因素被選入。,polygenic disease;polydipsia;DM;,
diagnosis,n.診斷；診斷結論；判斷；結論； ,Design the oxygen sensor diagnosis strategy. Divide oxygen sensor diagnosis into voltage diagnosis and response diagnosis.,"設計了氧感測器診斷策略, 把氧感測器診斷分為輸出電壓診斷和響應特性診斷.",uranalysis;identification;blood typing;,
diagram,n.圖表；圖解；示意圖；[數]線圖； vt.用圖表示；圖解； ,The failure assessment diagram (FAD) method is very effective to the EGA of the pipelines.,"失效評定圖(Failure Assessment Diagram,FAD)方法是進行管道ECA評估非常有效的方法，該方法是英國中央電力局(CEGB)首先提出的。",Venn diagram;block diagram;horoscope;,representational;repel;adduct;
diameter,n.直徑，直徑長；放大率； ,"Secondly, the NAS model based on Diameter, EAP and PANA protocols is designed.","其次, 基於Diameter 、 EAP和PANA協議,設計了一個網路接入伺服器模型.",length;calibre;r;,shortness;permanence;short;
dictation,n.口授，聽寫；聽寫測驗；命令； ,"Portrait reducing dictation, dictation still life increase.","默寫人像減少, 靜物默寫增加.",behest;bid;speech act;,windward;incoming;linger;
dictator,n.獨裁者；專制者；發號施令者；專橫的人； ,Everyone objecting to the dictator is dead.,所有反對那個獨裁者的人都死了.,ruler;strongman;despot;,democratic;submissive;egalitarian;
dilemma,n.窘境，困境；進退兩難； ,The fact that dilemma of university education during the transition period is also facing a dilemma.,而其實這種困惑，也正是轉軌時期大學教育所面臨的一個窘境。,double bind;perplexity;quandary;,
dimension,n.尺寸；[復]面積，範圍；[物]量綱；[數]次元，度，維； adj.（石料，木材）切成特定尺寸的； vt.把…刨成（或削成）所需尺寸；標出尺寸； ,Marxist ethics dimension of the all-round human development is bidirectional: horizontal dimension and vertical dimension.,馬克思主義人的全面發展範疇的倫理學維度是雙向的：橫向倫理學維度與縱向倫理學維度。,fourth dimension;length;height;,thickness;thinness;longness;
diplomacy,n.外交；外交手腕，交際手段；外交使團；處世之道； ,Moral diplomacy is the name used for a form of diplomacy proposed by Woodrow Wilson.,道德外交的名稱是用於一種形式的外交提議伍德羅威爾遜。,recognition;shuttle diplomacy;negotiation;,largeness;bigness;strength;
directory,n.人名地址錄，（電話）號碼簿；（計算機文件或程序的）目錄； adj.指導的，指揮的；咨詢的；管理的； ,"Working Directory: The application's working directory. By default, the directory containing the project file.",工作目錄：應用程序的工作目錄。默認情況下，該目錄包含項目文件。,phone book;phonebook;reference work;,stand still;
disability,n.無力，無能；殘疾；[法]無能力，無資格； ,To calculate the burden of AUD in Liaoning province using DALY (Disability-Adjusted Life Years).,"以DALY(DALY,Disability-AdjustedLifeYears)為指標計算遼寧省居民酒精使用障礙的疾病負擔。",unfitness;dysphasia;dysomia;,fitness;good health;sensitivity;
discharge,vt.下（客）；卸船；免除（自己的義務、負擔等）；執行； vt.& vi.放出；流出；開槍；發射； n.（氣體、液體如水從管子里）流出；排放出的物體； ,Then the difference between fluidic light discharge theory and Townsend discharge theory is also described.,同時闡述了流光放電理論和湯生放電理論的區別.,eruption;natural event;volcanic eruption;,prevent;failing;stay;
disclosure,n.（發明等的）公開；泄露，揭露；開誠布公的話；被公開的事情，被披露的秘聞； ,"Listed Companies, Trade Secret Protection, Information Disclosure, balance of interests, Theory, Selective disclosure, Minimum disclosure obligations.",上市公司、商業秘密保護、信息披露、利益平衡、博弈論、選擇性披露、最低披露義務。,divulgence;leak;speech act;,disagreement;agreement;hide;
discomfort,n.不舒適，不舒服；不安；不方便；苦惱； vt.使…不舒服；使…不安；使苦惱；使不便； ,Chest discomfort - pain 、 pressure or discomfort in the chest.,胸部不適 - 痛、壓迫不適.,incommodiousness;inconvenience;uncomfortableness;,comfort;suitableness;availability;
discrimination,n.歧視；辨別，區別；辨別力，識別力；不公平的待遇； ,The law named as age discrimination and it is as same as the racial discrimination law.,年齡歧視法律跟同種族歧視法律一樣重要。,able-bodiedism;cronyism;fattism;,denationalization;demobilization;mobilization;
disgrace,n.丟臉；恥辱；不光彩；丟臉的人（或事）； vt.使丟臉；使失寵；使受恥辱；貶黜； ,"Poverty is not a disgrace, but theft is a disgrace.","貧窮不可恥, 偷竊乃足羞.",shame;maculate;attaint;,honor;immodest;superior;
dismay,vt.使驚愕，使焦慮，使氣餒； n.驚愕，氣餒； ,Dismay is not a characteristic mood with him.,沮喪並不是他的主要情緒。,despair;disheartenment;intimidation;,hope;spread;heat;
dispatch,vt.派遣，調度；（迅速地）發出；迅速處理，迅速了結；處決（罪犯等）； n.（使者等的）派遣；急件；迅速辦理，快速處理；（記者發回的）新聞報道； ,Dispatch of units and employment services unit was not allowed to dispatch workers free of charge.,勞務派遣單位和用工單位不得向被派遣勞動者收取費用.,bundle off;send off;despatch;,muzzle;hire;stand still;
disposable,adj.一次性的，可任意處理的；用后就拋棄的；免洗的；可供使用的； n.〈美口〉使用后隨即拋掉的東西（尤指容器等）； ,Don't squander your disposable income on a disposable car.,"僅此一次,給我們的車它們應有的外表.",usable;liquid;available;,nondisposable;useless;gaseous;
disposal,n.（事情的）處置；（自由）處置權；清理；排列； adj.處理（或置放）廢品的； ,"For disposal and clean up of material, all local, state and federal disposal regulations.",2處理和清除材料，與當地政府和聯邦處理規格保持一致。,power;powerfulness;,powerlessness;discomposure;unwillingness;
disregard,vt.不顧；不理會；漠視，忽視；蔑視，輕視； n.漠視，忽視；不理，不顧；不尊重； ,A lot of people disregard traffic signals and rules.,許多人無視於交通號誌和規律。,treat;snub;do by;,notice;hire;welcome;
dissident,n.持異議者，公開大唱反調者，持不同政見者； adj.持不同意見的（人）； ,Dissident thought is valuable just because it is dissident.,不同的見解的價值就在於它的不同。,heterodox;unorthodox;heretical;,orthodox;granter;religious person;
distraction,n.注意力分散；娛樂，消遣；心煩意亂；精神錯亂； ,We took her to a KTV because she needed a distraction from her busy job.,我們帶她到KTV去，因為她在繁忙工作之餘也需要娛樂。,muddiness;disarray;confusion;,decrease;death;loosening;
distrust,vt.不信任；懷疑； n.不信任，猜疑；疑惑，不相信； ,Distrust all in whom the impulse to punish is powerful.,不要信任任何有強烈懲罰欲的人。,doubt;suspect;discredit;,believe;trust;flatter;
disturbance,n.打擾；騷亂，變亂；困擾；煩悶； ,Natural disturbance and human _caused disturbance of estuary wetland ecosystem were identified.,對河口濕地生態系統所受到的自然干擾和人為干擾進行了系統辨識。,activity;perturbation;hassle;,inactivity;nonmoving;orderliness;
diversion,n.轉移；分散注意力；消遣； ,"Retaining structure of masonry arch dam, diversion system for pressurized water diversion, plant-plant to the ground.",擋水建築物為漿砌石拱壩，引水系統為有壓引水，廠房為地面式廠房。,escapade;play;nightlife;,inactivity;refrain;stay in place;
diversity,n.多樣化，（人在種族、民族、宗教等方面的）多樣性；差異；分歧； ,"Soil microbial diversity includes microbial species diversity, genetic diversity and ecological diversity.",土壤微生物多樣性包括微生物物種多樣性、遺傳多樣性和生態多樣性。,variety;heterogeneousness;varied;,varied;unvaried;homogeneity;
doctrine,n.教條，教義；法律原則；聲明；古語] 所教的東西，教育； ,"As the key content of Freud's doctrine, the theory of the unconscious generalizes his whole doctrine.",無意識理論既是弗洛伊德學說的核心內容，又可用來概括其整個學說。,church doctrine;rationalism;laissez faire;,imitation;unbelief;monism;
documentary,n.紀錄片； adj.記錄的；文書的；紀實的； ,Modern Chinese Literature possesses substantial documentary achievements and has accumulated rich documentary experience.,中國現代文學擁有豐碩的文獻成果，積累了豐富的文獻學實踐經驗。,movie;flick;docudrama;,abstract;unreality;insubstantiality;
dome,n.圓屋頂；像圓屋頂一樣的東西；圓頂體育場； vt.加圓屋頂于…上； vi.成圓頂狀； ,Cover with plastic dome.,"用塑料蓋子蓋上. (這裡的dome, 當然不是「屋頂」的意思,而是蓋子的意思,是一種圓形或橢圓形的部面形狀)",bean;attic;human head;,angular;uncoiled;
donation,n.捐贈，贈送；捐款；捐贈物； ,"That is not to look at non - remunerated blood donation, but now mostly non - remunerated blood donation.","那要看是不是無償獻血, 但現在大多是無償獻血.",political contribution;gift;contribution;,disinherit;disable;disagreement;
donor,n.捐贈者，[醫]供血者，輸血者；[醫]供血者，輸血者；[物]施主； ,Brain - dead donor ( BDD ) is the effective way to solve the problem.,"利用腦死亡供體 ( Brain-dead donor,BDD ) 器官進行移植可有效緩解器官來源短缺這一問題.",giver;subsidiser;conferrer;,bad person;nonworker;captor;
doom,n.命運；厄運；死亡；（尤指不利的、有罪的）判決，宣判； vt.註定；判定；使…的失敗；宣判； ,"Since that fateful day of playing my first multiplayer game of Doom, I've been hooked.","那天我兄弟把Doom這個遊戲介紹給我玩,這是我第一次我這個多人遊戲, 我立刻被深深吸引住了.",ordain;designate;destine;,accept;acquittal;good luck;
dosage,n.（藥物等的）劑量；（通常指葯的）服法；下藥，配藥； ,"As this occurs, the margin between an intoxicating dosage and fatal dosage becomes smaller.",此時，中毒劑量和致死劑量之間的差距縮短。,dose;indefinite quantity;,discharge;demobilization;fall back;
drawback,n.缺點，劣勢；退稅； ,The drawback of a pulldown in TTL is that it wastes power.,"在ttl中的下拉的缺點是,浪費能源.",catch;disadvantage;gimmick;,advantage;repel;get off;
drizzle,vi.下濛濛細雨，下毛毛雨； n.濛濛細雨，毛毛雨； ,Arrange on a platter and drizzle with the horseradish dressing.,安排在與辣根選礦的盛肉盤和毛毛雨.,rainfall;rain;mizzle;,dry;clean;dehumidify;
drought,n.乾旱（時期），旱季；旱災；（長期的）缺乏；枯竭； ,It is said that demon of drought caused the drought.,傳說中旱魃是引起旱災的怪物。,waterlessness;xerotes;dryness;,wetness;emotionality;intemperance;
dynamite,n.炸藥；具有爆炸性的事物，有潛在危險的人；引起轟動的人(或物； vt.破壞，炸毀；裝炸藥； adj.極好的； ,In 1867 he patented this material under the name of dynamite.,"1867年他將自己的產品申請了專利,定名為dynamite(黃色炸藥).",gelly;glyceryl trinitrate;Nitrospan;,arrive;background;play down;
ebb,vi.（指潮水）退；跌落；減少；衰落； n.退潮；落潮；衰退；減少； ,"Result EBB showed antitumor effects in vivo to B16,B180 and lewis lung cancer in mice.",結果 EBB可抑制小鼠S180肉瘤、B16 黑色素瘤和Lew is 肺癌的生長，使瘤重量減輕，存在劑量效應關係。,ebb down;ebb out;ebb away;,tide;recuperate;increase;
eccentric,adj.古怪的，異常的；偏離軌道的；離心的； n.古怪的人；[物]偏心輪； ,It uses three eccentric cams as locators and an eccentric cam as clamps.,"該夾具利用三個偏心輪作定位元件,一個偏心輪作夾緊元件.",off-the-wall;outlandish;outre;,conventional;stop;uncover;
ecology,n.生態學；社會生態學；個體生態學； ,"The history, the natural ecology and the cultural ecology are briefly introduced in this chapter.",並分別從歷史概述、自然生態、文化生態三個方面對田壩社區進行了闡述。,biology;paleoecology;bionomics;,flora;fauna;
ecstasy,n.狂喜；出神，忘形；無法自控的情緒；迷幻藥； ,"This is ecstasy, and behind the ecstasy is something else, which is hard to explain.","這就是迷醉了, 而在這迷醉的背後還有一種別的什麼東西, 難以解釋.",raptus;rapture;spirit;,ascend;follow;precede;
editorial,adj.編輯的，主筆的；〈美〉社論的； n.社論（美）； ,The Editorial Projects in the Education Research Center prepared the report.,教育研究中心的評論計劃準備了這份報告。,newspaper;agony column;newspaper column;,uncover;natural object;
electron,n.電子； ,"Quantum Effect Devices: Electron waveguides, single electron transistors, etc.","26量子效應元件: 電子波導, 單電子電晶體等.",lepton;photoelectron;valence electron;,
elite,n.<法>精華；精銳，精英；上層集團；（統稱）掌權人物； ,In the newspapers the elite simply argued with the elite.,在報紙上，上層人士只是與上層人士爭辯而已。,high society;upper class;aristocracy;,push;ignoble;dishonorableness;
eloquence,n.口才，辯才；雄辯；雄辯術；修辭法； ,"First, there is the eloquence of silence.",首先是寂靜的妙趣。,fluency;smoothness;style;,uncommunicativeness;disfluency;unskillfulness;
emigrant,n.（從本國移往他國的）移民； adj.移居的，移民的，僑居的； ,"'Rise and dress yourself , emigrant.'","「 起來,穿上衣服, 外逃分子. 」",migrator;emigre;emigree;,settled;
emigration,n.移居外國，遷移出境；（總稱）移民； ,The greatest emigration came after the famine years that began in 1846.,最大的移民發生在1846年開始的飢荒之後。,out-migration;expatriation;migration;,
enactment,n.（法律的）制定，頒布；法律，法規；扮演； ,Teacher's curriculum enactment TCE is derived from and beyond the enactment of curriculum implementation.,「教師的課程創生」源於但又超越「課程實施的創生」.,legislating;lawmaking;legislation;,beginning;connect;join;
enclosure,n.圈占；圍繞；圈佔地；附件； ,Enclosure has no vent opening. Enclosure dimensions exclude external aluminum heatsink.,外包裝沒有通風口. 外包裝尺寸並不包括外置鋁散熱片.,area;plenum;yard;,stand still;ride;rough;
encyclopedia,n.百科全書； na.「encyclopaedia」的變體； ,The entire copy of the Great Britain Encyclopedia can be stored on several CD compactmemory.,整套的大英百科全書可以存儲在幾張CD盤中。,reference work;reference book;reference;,
endurance,n.耐久（力），持久（力）；忍耐，忍耐力； ,INSPECT CLIMATE CIRCULATING ENDURANCE AND HIGH TEMPERATURE ENDURANCE SOLELY.,將氣候循環耐久性能和高溫耐久性能分開進行判定。,long-sufferance;toughness;staying power;,weakness;ease;inelasticity;
enhancement,n.增強；增加；提高；改善； ,The presented algorithm is compared with other existing contrast enhancement techniques - histogram equalization and morphological enhancement.,並與已實現的數學形態學增強演算法和直方圖均衡化演算法進行了量化對比分析.,sweetening;improvement;,decline;
enlightenment,n.啟迪，啟發；教化，開導；啟蒙運動； ,"Fundamentalist evangelical beliefs, Lieven argues, are pre-Enlightenment in origin and anti-Enlightenment in substance.",列文認為，正統福音派信仰來源於啟蒙運動之前，從本質上看是反啟蒙的。,edification;satori;education;,unenlightenment;inactivity;inexperience;
enrichment,n.豐富；改進；肥沃；濃縮； ,The Songjiapo Cu deposit belongs to the Cu deposit of volcanic - subvolcanic hydrothermal metasomatic secondary enrichment type.,宋家坡銅礦屬火山~次火山熱液交代次生富集型銅礦床.,improvement;dressing;fortification;,decline;self-fertilization;cross-fertilization;
